mineral_name,mineral_frequency,sample_label,rock_name,classification,latitude,longitude,doi/ref,igsn,analytical_method,data_source,SiO2,TiO2,Al2O3,FeO,MnO,MgO,Cr2O3,Fe2O3,CaO,Na2O,K2O,P2O5,NiO,BaO,CO2,(SO3)2-,SO2,PbO,SrO,ZrO2,Nb2O5,B2O3,WO3,As2O5,ZnO,MoO3,CuO,CdO,Mn2O3,Cu2O,SnO,BeO,SnO2,H2O,F,Cl,Si,Ti,Al,Fe,S,Cu,Pb,Zn,Co,Ni,As,Ag,Sb,Hg,Bi,Te,Mo,Mn,Mg,Ca,Na,K,Cr,Sr,Ba,Y2O3,Sc2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Gd2O3,Dy2O3,ThO2,UO2,Tb2O3,ThO2.1,Tb2O3.1,ThO2 ,Tb2O3 
actinolite,Common,samp. SJDD014,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,54.0,0.13266,3.0,14.11984,0.31611,14.69862,,,12.0,0.24118,0.12719,,,,,,,,,,,,,,,,,,,,,,,,,0.23023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,81 LOMROG_09-PC01_32.5-34.5cm 75,Not given,Not given,88.54,133.48,https://doi.org/10.1594/PANGAEA.870973,Not Given,EPMA,Pangaea,54.032,,2.789,14.755,0.168,14.675,,,12.238,0.275,0.044,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,"67-499B-10-1,40-46",Nan,Not given,12.6705,-90.9447,https://doi.org/10.2973/dsdp.proc.67.123.1982,Not Given,EPMA,Pangaea,52.46,0.18,2.66,15.05,0.44,14.42,0.01,,12.86,0.65,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD011,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,,1.0,15.38018,0.43436,14.99578,,,12.0,0.07749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD006,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,,2.0,12.9958,0.44554,15.83022,,,12.0,0.16526,0.13885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD011,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,53.0,0.24697,3.0,15.02377,0.30325,14.7594,,,12.0,0.39883,0.07893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD014,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,53.0,0.16536,2.0,20.7688,0.93608,14.67502,,,7.0,0.21809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD022,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,0.05882,2.0,12.62929,0.1925,16.45364,,,13.0,0.26403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD022,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,55.0,0.11696,2.0,12.55128,0.20646,16.18777,,,13.0,0.23691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actinolite,Common,samp. SJDD006,Gabbro,Not given,48.69,-3.77,[26504] POCHON A. (2023),Not given,Not given,GEOROC,54.0,,3.0,12.9786,0.29677,15.47771,,,13.0,0.29018,0.09949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
